segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000001,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,static,static_hold,1,SEC_10_STATIC,1,static,0,MC_NONE,,,0.0,,1,1,none,none,,0.8,0,null,0,,,,,,,,,0,30589,15209671,45798671,30.589,,,,,static reliable_stationary_run rows=30590,static reliable_stationary_run rows=30590,reliable_stationary,
ofnis_000002,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,1,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,30589,31297,45798671,46506671,0.708,30590,30839,45799671,46048671,last row of preceding reliable stationary run; rows=30590; row_index=0..30589,first reliable stationary run after active command; rows=250; row_index=31048..31297,reliable_stationary,
ofnis_000003,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,1,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,31297,31954,46506671,47163671,0.6569999999999999,31298,31547,46507671,46756671,last row of preceding reliable stationary run; rows=250; row_index=31048..31297,first reliable stationary run after active command; rows=249; row_index=31706..31954,reliable_stationary,
ofnis_000004,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,2,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,31954,32676,47163671,47885671,0.722,31955,32204,47164671,47413671,last row of preceding reliable stationary run; rows=249; row_index=31706..31954,first reliable stationary run after active command; rows=296; row_index=32381..32676,reliable_stationary,
ofnis_000005,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,2,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,32676,33370,47885671,48579671,0.694,32677,32926,47886671,48135671,last row of preceding reliable stationary run; rows=296; row_index=32381..32676,first reliable stationary run after active command; rows=264; row_index=33107..33370,reliable_stationary,
ofnis_000006,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,3,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,33370,34044,48579671,49253671,0.6739999999999999,33371,33620,48580671,48829671,last row of preceding reliable stationary run; rows=264; row_index=33107..33370,first reliable stationary run after active command; rows=301; row_index=33744..34044,reliable_stationary,
ofnis_000007,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,3,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,34044,34756,49253671,49965671,0.712,34045,34294,49254671,49503671,last row of preceding reliable stationary run; rows=301; row_index=33744..34044,first reliable stationary run after active command; rows=282; row_index=34475..34756,reliable_stationary,
ofnis_000008,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,1,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,34756,35357,49965671,50566671,0.601,34757,35006,49966671,50215671,last row of preceding reliable stationary run; rows=282; row_index=34475..34756,first reliable stationary run after active command; rows=285; row_index=35073..35357,reliable_stationary,
ofnis_000009,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,1,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,35357,36012,50566671,51221671,0.6549999999999999,35358,35607,50567671,50816671,last row of preceding reliable stationary run; rows=285; row_index=35073..35357,first reliable stationary run after active command; rows=241; row_index=35772..36012,reliable_stationary,
ofnis_000010,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,2,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,36012,36765,51221671,51974671,0.753,36013,36262,51222671,51471671,last row of preceding reliable stationary run; rows=241; row_index=35772..36012,first reliable stationary run after active command; rows=246; row_index=36520..36765,reliable_stationary,
ofnis_000011,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,2,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,36765,37435,51974671,52644671,0.6699999999999999,36766,37015,51975671,52224671,last row of preceding reliable stationary run; rows=246; row_index=36520..36765,first reliable stationary run after active command; rows=264; row_index=37172..37435,reliable_stationary,
ofnis_000012,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,3,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,37435,37944,52644671,53153671,0.509,37436,37685,52645671,52894671,last row of preceding reliable stationary run; rows=264; row_index=37172..37435,first reliable stationary run after active command; rows=259; row_index=37686..37944,reliable_stationary,
ofnis_000013,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,3,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,37944,38692,53153671,53901671,0.748,37945,38194,53154671,53403671,last row of preceding reliable stationary run; rows=259; row_index=37686..37944,first reliable stationary run after active command; rows=243; row_index=38450..38692,reliable_stationary,
ofnis_000014,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.3499999940395355,,1,1,drive_command_bin,logged_drive_command_bin,0.35,0.8,250,"[0.35, 0.35]",1,0.35,0.35,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,,,38692,39277,53901671,54486671,0.585,38693,38942,53902671,54151671,last row of preceding reliable stationary run; rows=243; row_index=38450..38692,first reliable stationary run after active command; rows=63; row_index=39215..39277,reliable_stationary,
ofnis_000015,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.3499999940395355,,1,1,drive_command_bin,logged_drive_command_bin,-0.35,0.8,250,"[-0.35, -0.35]",1,0.35,0.35,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,,,39603,40426,54812671,55635671,0.823,39604,39853,54813671,55062671,last row of preceding reliable stationary run; rows=248; row_index=39356..39603,first reliable stationary run after active command; rows=282; row_index=40145..40426,reliable_stationary,
ofnis_000016,mmlog_decode_2026-06-10_07-06-22,TestResults/mmlog_decode_2026-06-10_07-06-22/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.3499999940395355,,2,1,drive_command_bin,logged_drive_command_bin,0.35,0.8,250,"[0.35, 0.35]",1,0.35,0.35,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,,,40426,41181,55635671,56390671,0.755,40427,40676,55636671,55885671,last row of preceding reliable stationary run; rows=282; row_index=40145..40426,first reliable stationary run after active command; rows=282; row_index=40900..41181,reliable_stationary,
